Return_ID,Order_ID,Return_Reason,Refund_Method,Return_Date
R00510,O022878,Changed Mind,Original Payment,2025-01-30
R00511,O010725,Changed Mind,Store Credit,2025-08-14
R00512,O016357,Late Delivery,Original Payment,2025-09-12
R00513,O003747,Size/Fit,Original Payment,2025-12-21
R00514,O001958,Changed Mind,Store Credit,2024-04-15
R00515,O021266,Late Delivery,Original Payment,2025-09-16
R00516,O011038,Not as Described,Original Payment,2024-02-17
R00517,O004518,Size/Fit,Original Payment,2025-12-27
R00518,O006633,,Store Credit,2024-09-02
R00519,O005944,Not as Described,Original Payment,2025-08-06
R00520,O012059,Damaged,Original Payment,2024-10-06
R00521,O003065,Damaged,Original Payment,2024-04-21
R00522,O019482,Wrong Item,Original Payment,2024-02-21
R00523,O012580,Wrong Item,Original Payment,2024-05-30
R00524,O012819,Changed Mind,Original Payment,2026-02-17
R00525,O013710,Size/Fit,Store Credit,2024-02-18
R00526,O003263,Late Delivery,Original Payment,2025-12-02
R00527,O003059,Size/Fit,Original Payment,2024-07-23
R00528,O011690,Damaged,Original Payment,2025-06-14
R00529,O016351,Damaged,Original Payment,2025-11-11
R00530,O001509,Wrong Item,Original Payment,2025-12-08
R00531,O022482,Size/Fit,Original Payment,2025-08-07
R00532,O022724,Late Delivery,Original Payment,2024-10-22
R00533,O009230,Not as Described,Original Payment,2024-08-18
R00534,O006559,Size/Fit,Store Credit,2025-10-02
R00535,O001175,Damaged,Original Payment,2024-08-16
R00536,O008645,Size/Fit,Original Payment,2024-11-03
R00537,O004703,Changed Mind,Original Payment,2024-12-25
R00538,O023990,Not as Described,Original Payment,2025-06-03
R00539,O019841,Damaged,Original Payment,2025-01-17
R00540,O017275,Not as Described,Original Payment,2025-10-09
R00541,O006429,Damaged,Original Payment,2025-10-13
R00542,O010985,Wrong Item,Original Payment,2024-08-23
R00543,O020717,Damaged,Original Payment,2025-10-22
R00544,O007341,Wrong Item,Original Payment,2025-04-23
R00545,O008322,Changed Mind,Original Payment,2024-09-06
R00546,O023118,Wrong Item,Original Payment,2025-12-22
R00547,O003680,Size/Fit,Original Payment,2025-06-10
R00548,O003214,Damaged,Original Payment,2024-07-13
R00549,O018727,Damaged,Original Payment,2025-03-27
R00550,O001322,Wrong Item,Original Payment,2025-11-02
R00551,O008782,Wrong Item,Original Payment,2024-09-26
R00552,O022281,Changed Mind,Store Credit,2024-07-30
R00553,O003517,Damaged,Original Payment,2024-06-30
R00554,O011658,Wrong Item,Store Credit,2025-12-29
R00555,O009834,Wrong Item,Store Credit,2024-10-18
R00556,O022335,Changed Mind,Original Payment,2024-12-17
R00557,O007759,Changed Mind,Original Payment,2025-11-22
R00558,O000584,Wrong Item,Original Payment,2025-01-21
R00559,O022237,Not as Described,Store Credit,2025-09-09
R00560,O018770,Size/Fit,Original Payment,2025-01-19
R00561,O019266,Size/Fit,Store Credit,2024-03-07
R00562,O009991,Size/Fit,Store Credit,2024-12-20
R00563,O013003,Not as Described,Store Credit,2025-05-02
R00564,O014350,Changed Mind,Original Payment,2025-10-14
R00565,O001051,Damaged,Original Payment,2025-11-28
R00566,O004225,Not as Described,Original Payment,2024-11-17
R00567,O006012,Changed Mind,Original Payment,2025-08-18
R00568,O019680,Damaged,Original Payment,2024-12-23
R00569,O016483,Late Delivery,Original Payment,2024-04-24
R00570,O017818,Size/Fit,Original Payment,2025-01-09
R00571,O020334,Damaged,Original Payment,2024-02-12
R00572,O003782,Damaged,Original Payment,2024-02-09
R00573,O006993,Wrong Item,Original Payment,2025-12-29
R00574,O013982,Damaged,Original Payment,2024-05-02
R00575,O013735,Wrong Item,Original Payment,2025-05-21
R00576,O017489,Wrong Item,Original Payment,2025-07-15
R00577,O000558,Changed Mind,Original Payment,2024-11-29
R00578,O003266,Not as Described,Original Payment,2025-06-26
R00579,O007819,Damaged,Original Payment,2024-08-18
R00580,O006285,Size/Fit,Original Payment,2024-12-15
R00581,O015495,Changed Mind,Original Payment,2024-12-29
R00582,O023075,Damaged,Original Payment,2024-07-13
R00583,O004585,Changed Mind,Original Payment,2025-02-06
R00584,O003050,Changed Mind,Original Payment,2025-11-27
R00585,O014210,Damaged,Store Credit,2025-04-26
R00586,O004331,Size/Fit,Original Payment,2025-07-29
R00587,O007270,Not as Described,Original Payment,2025-12-29
R00588,O020020,,Original Payment,2024-09-25
R00589,O017207,Size/Fit,Original Payment,2025-06-19
R00590,O016999,Size/Fit,Original Payment,2024-04-12
R00591,O016107,Size/Fit,Store Credit,2025-09-07
R00592,O015580,Not as Described,Original Payment,2025-06-21
R00593,O012608,Changed Mind,Store Credit,2024-04-17
R00594,O023542,Late Delivery,Store Credit,2025-11-01
R00595,O001172,Damaged,Original Payment,2025-06-25
R00596,O021804,Damaged,Original Payment,2025-11-07
R00597,O003835,Changed Mind,Original Payment,2024-12-26
R00598,O017491,Size/Fit,Original Payment,2024-07-11
R00599,O004030,Not as Described,Original Payment,2025-09-19
R00600,O000541,Late Delivery,Original Payment,2025-04-26
R00601,O012575,Not as Described,Store Credit,2025-04-07
R00602,O001247,Not as Described,Original Payment,2025-09-25
R00603,O023285,Changed Mind,Original Payment,2024-12-02
R00604,O019896,Damaged,Original Payment,2024-08-03
R00605,O012601,Wrong Item,Original Payment,2025-02-14
R00606,O016168,Not as Described,Store Credit,2025-04-18
R00607,O011872,Wrong Item,Original Payment,2025-01-17
R00608,O006855,Late Delivery,Original Payment,2024-06-20
R00609,O019024,Changed Mind,Original Payment,2024-09-26
R00610,O005527,Wrong Item,Original Payment,2025-03-01
R00611,O000826,Damaged,Original Payment,2025-02-17
R00612,O018637,Wrong Item,Original Payment,2025-08-01
R00613,O010778,,Original Payment,2025-10-14
R00614,O022741,Wrong Item,Original Payment,2025-05-04
R00615,O009105,Size/Fit,Original Payment,2025-05-18
R00616,O005584,Changed Mind,Original Payment,2024-08-29
R00617,O001023,Not as Described,Original Payment,2025-02-09
R00618,O023088,Size/Fit,Original Payment,2025-04-19
R00619,O009316,Size/Fit,Original Payment,2025-12-12
R00620,O011639,Damaged,Original Payment,2024-02-04
R00621,O023195,Changed Mind,Original Payment,2025-12-11
R00622,O020185,Not as Described,Original Payment,2024-09-10
R00623,O017030,Changed Mind,Store Credit,2025-11-22
R00624,O004666,Wrong Item,Store Credit,2026-01-06
R00625,O020244,Late Delivery,Original Payment,2025-07-20
R00626,O020505,Not as Described,Original Payment,2025-12-30
R00627,O012478,Late Delivery,Original Payment,2024-05-26
R00628,O023282,Not as Described,Original Payment,2025-09-10
R00629,O019714,Not as Described,Original Payment,2025-12-20
R00630,O013992,Changed Mind,Original Payment,2024-04-08
R00631,O023273,Changed Mind,Original Payment,2025-05-25
R00632,O003890,Late Delivery,Original Payment,2025-09-10
R00633,O016495,Not as Described,Original Payment,2025-01-19
R00634,O003713,Not as Described,Original Payment,2025-06-19
R00635,O016004,Damaged,Original Payment,2024-12-26
R00636,O017198,Not as Described,Original Payment,2025-01-28
R00637,O017959,Size/Fit,Store Credit,2025-12-24
R00638,O002939,,Original Payment,2024-04-15
R00639,O005529,Damaged,Original Payment,2024-07-13
R00640,O016722,Wrong Item,Original Payment,2024-05-12
R00641,O002780,Size/Fit,Original Payment,2024-11-21
R00642,O010460,Damaged,Original Payment,2024-05-05
R00643,O010374,Changed Mind,Original Payment,2025-03-24
R00644,O017680,Wrong Item,Original Payment,2024-09-22
R00645,O014130,Not as Described,Original Payment,2024-09-18
R00646,O020221,Size/Fit,Original Payment,2025-08-17
R00647,O003115,Not as Described,Original Payment,2024-02-09
R00648,O001350,Damaged,Original Payment,2024-10-07
R00649,O003706,Size/Fit,Original Payment,2024-08-30
R00650,O009906,Damaged,Original Payment,2024-09-29
R00651,O022583,Damaged,Original Payment,2025-11-29
R00652,O005100,Changed Mind,Store Credit,2024-02-29
R00653,O019994,Size/Fit,Original Payment,2025-06-20
R00654,O018043,Not as Described,Store Credit,2025-09-15
R00655,O000261,Damaged,Original Payment,2024-10-05
R00656,O019259,Not as Described,Original Payment,2025-12-30
R00657,O001002,Changed Mind,Original Payment,2024-08-19
R00658,O011205,Damaged,Original Payment,2025-11-04
R00659,O015971,Late Delivery,Original Payment,2024-04-23
R00660,O006264,Changed Mind,Original Payment,2024-12-09
R00661,O007329,Damaged,Original Payment,2024-05-31
R00662,O017573,Wrong Item,Original Payment,2024-02-04
R00663,O013775,Wrong Item,Original Payment,2024-12-28
R00664,O015210,Size/Fit,Original Payment,2025-12-11
R00665,O016666,Size/Fit,Original Payment,2024-12-15
R00666,O019622,Damaged,Store Credit,2024-05-09
R00667,O006421,Not as Described,Original Payment,2025-12-08
R00668,O014868,Damaged,Original Payment,2024-04-11
R00669,O007161,Size/Fit,Original Payment,2025-11-21
R00670,O010120,Changed Mind,Original Payment,2024-09-04
R00671,O003681,Changed Mind,Store Credit,2024-07-10
R00672,O018734,Damaged,Store Credit,2025-02-14
R00673,O015831,,Original Payment,2024-09-12
R00674,O021203,Size/Fit,Original Payment,2025-04-19
R00675,O013321,Damaged,Original Payment,2024-03-25
R00676,O018849,Damaged,Original Payment,2025-05-26
R00677,O012076,Not as Described,Original Payment,2025-01-06
R00678,O003643,Damaged,Original Payment,2024-09-10
R00679,O003631,Changed Mind,Original Payment,2024-10-21
R00680,O021725,Changed Mind,Store Credit,2025-09-01
R00681,O022308,Size/Fit,Original Payment,2025-10-29
R00682,O017340,Changed Mind,Store Credit,2024-05-29
R00683,O016195,Late Delivery,Original Payment,2024-11-08
R00684,O008639,Late Delivery,Original Payment,2025-10-25
R00685,O011443,Changed Mind,Original Payment,2024-12-18
R00686,O007881,Damaged,Original Payment,2025-11-09
R00687,O004451,Size/Fit,Original Payment,2024-09-02
R00688,O003202,Late Delivery,Original Payment,2025-07-12
R00689,O022490,Changed Mind,Original Payment,2024-09-29
R00690,O014780,Wrong Item,Original Payment,2025-01-08
R00691,O003579,Not as Described,Store Credit,2025-11-17
R00692,O022922,Changed Mind,Original Payment,2024-06-05
R00693,O004740,Damaged,Original Payment,2025-09-13
R00694,O014788,Late Delivery,Original Payment,2025-05-12
R00695,O006793,,Original Payment,2024-02-01
R00696,O007083,Damaged,Original Payment,2025-08-03
R00697,O009857,Late Delivery,Original Payment,2024-07-20
R00698,O003143,Late Delivery,Original Payment,2024-03-11
R00699,O004362,Late Delivery,Original Payment,2024-07-13
R00700,O004908,Changed Mind,Original Payment,2025-01-01
R00701,O010793,Size/Fit,Original Payment,2025-11-20
R00702,O006094,Changed Mind,Original Payment,2025-05-19
R00703,O010135,Not as Described,Original Payment,2025-07-12
R00704,O019477,Changed Mind,Original Payment,2024-03-18
R00705,O018115,Late Delivery,Original Payment,2025-01-08
R00706,O021146,Damaged,Store Credit,2024-07-29
R00707,O003339,Wrong Item,Original Payment,2026-01-14
R00708,O015670,Damaged,Original Payment,2025-06-15
R00709,O009885,Damaged,Store Credit,2024-12-16
R00710,O018648,Late Delivery,Original Payment,2025-12-04
R00711,O023297,Wrong Item,Original Payment,2025-03-22
R00712,O021873,Late Delivery,Original Payment,2025-04-09
R00713,O005324,Late Delivery,Original Payment,2024-12-09
R00714,O015833,Not as Described,Store Credit,2024-10-15
R00715,O021908,Damaged,Original Payment,2025-03-17
R00716,O017743,Not as Described,Original Payment,2025-12-02
R00717,O020398,Not as Described,Original Payment,2025-04-28
R00718,O022140,Size/Fit,Store Credit,2025-12-07
R00719,O015231,Changed Mind,Original Payment,2024-10-18
R00720,O020007,Damaged,Original Payment,2024-03-05
R00721,O018032,Changed Mind,Original Payment,2024-10-24
R00722,O009548,Wrong Item,Original Payment,2025-09-01
R00723,O023294,Late Delivery,Original Payment,2025-04-02
R00724,O012548,Wrong Item,Original Payment,2024-12-11
R00725,O006529,Damaged,Original Payment,2024-11-30
R00726,O019501,Damaged,Original Payment,2025-09-09
R00727,O010923,Wrong Item,Original Payment,2024-01-15
R00728,O012275,Wrong Item,Original Payment,2025-08-25
R00729,O002947,Damaged,Original Payment,2024-08-15
R00730,O016902,Damaged,Original Payment,2025-10-14
R00731,O005742,Wrong Item,Original Payment,2025-01-07
R00732,O020636,Changed Mind,Original Payment,2025-04-09
R00733,O014703,Changed Mind,Original Payment,2024-09-14
R00734,O016475,Changed Mind,Original Payment,2025-05-11
R00735,O009298,Damaged,Original Payment,2024-11-14
R00736,O023478,Changed Mind,Original Payment,2025-04-20
R00737,O019971,Size/Fit,Original Payment,2025-03-16
R00738,O005786,Late Delivery,Original Payment,2025-11-18
R00739,O018697,Size/Fit,Original Payment,2025-05-23
R00740,O016614,Not as Described,Original Payment,2025-01-16
R00741,O007575,Changed Mind,Original Payment,2025-12-24
R00742,O015943,Damaged,Original Payment,2026-01-02
R00743,O010023,Not as Described,Original Payment,2024-09-10
R00744,O021461,Changed Mind,Original Payment,2025-10-30
R00745,O017366,Damaged,Original Payment,2024-07-25
R00746,O009009,Changed Mind,Original Payment,2024-12-14
R00747,O006351,Not as Described,Store Credit,2024-10-14
R00748,O018369,Wrong Item,Original Payment,2025-11-07
R00749,O015311,Size/Fit,Store Credit,2025-02-06
R00750,O015543,Late Delivery,Original Payment,2025-03-25
R00751,O006838,Wrong Item,Original Payment,2025-11-17
R00752,O009336,Changed Mind,Original Payment,2025-09-21
R00753,O009514,Late Delivery,Store Credit,2024-02-28
R00754,O005489,Size/Fit,Original Payment,2025-03-06
R00755,O022836,Changed Mind,Original Payment,2024-12-13
R00756,O019402,Size/Fit,Original Payment,2025-04-24
R00757,O011683,Wrong Item,Original Payment,2025-10-19
R00758,O008622,Changed Mind,Original Payment,2025-01-20
R00759,O012486,Late Delivery,Original Payment,2025-10-20
R00760,O015830,Late Delivery,Original Payment,2024-08-18
R00761,O023610,Wrong Item,Original Payment,2025-07-21
R00762,O022286,Wrong Item,Original Payment,2025-11-01
R00763,O021657,Wrong Item,Original Payment,2025-12-21
R00764,O015016,Changed Mind,Original Payment,2025-11-19
R00765,O020282,Wrong Item,Original Payment,2024-03-16
R00766,O015872,Late Delivery,Original Payment,2025-06-18
R00767,O020798,Damaged,Original Payment,2025-06-26
R00768,O013435,Size/Fit,Original Payment,2024-08-06
R00769,O022921,Changed Mind,Original Payment,2025-12-18
R00770,O013970,Size/Fit,Original Payment,2024-12-31
R00771,O002217,Damaged,Original Payment,2025-05-21
R00772,O005990,Late Delivery,Original Payment,2025-11-26
R00773,O017120,Changed Mind,Original Payment,2024-02-08
R00774,O003862,Late Delivery,Store Credit,2026-01-13
R00775,O012726,Changed Mind,Original Payment,2025-12-18
R00776,O000993,Changed Mind,Original Payment,2024-12-05
R00777,O013043,Size/Fit,Original Payment,2025-10-28
R00778,O004001,Damaged,Store Credit,2024-01-18
R00779,O016032,Wrong Item,Original Payment,2025-03-19
R00780,O021208,Wrong Item,Store Credit,2025-12-18
R00781,O020318,Damaged,Original Payment,2024-03-06
R00782,O020151,Not as Described,Original Payment,2024-01-17
R00783,O022536,Not as Described,Original Payment,2025-12-21
R00784,O018077,Changed Mind,Original Payment,2025-09-05
R00785,O002501,Wrong Item,Original Payment,2025-05-26
R00786,O013601,Wrong Item,Original Payment,2024-03-04
R00787,O005978,Wrong Item,Original Payment,2024-09-23
R00788,O018293,Not as Described,Original Payment,2024-07-20
